text,sentiment
i am cancelled flighting my mileageplus card and i will never do business with you again you clearly do not care about your customers ,0
i have to miss a whole days worth of work tomorrow but i am suree you guys do not care ,0
she hung up before i can get name she took no accountability for keeping me on hold min next rep was not able to track name ,0
that has that is real dedication amp concern your apologies do not fix the issue nor any of the miserable issues i have had over the past mos ,0
 s marty st george really has zero clue how does he still have a job nobaggagefees ,0
i have been on hold for 9 minutes this is terrible customer service you messed up my reservation ,0
no just felt that you could do better in making the emails feel a little less of we don t care we re automated ,0
the drunk guy you threw out of flight ua9 hrs ago is better off than the rest of us held up for hrs in the plane without food ,0
i have tried and you have failed still no wifi ever last row in the middle and i fly every week thanks for nothing ,0
is blaming for flight luggage debacle luggagegate ,0
flight 9 it has it is been delayed every hour since am ,0
is the biggest joke of a company i will never fly with them again days now waiting for my bag they do not even know where it is ,0
thanks for following up i think it has it is fair to refund the ticket price and the two one way rental cars i had to buy ,1
on flight to orlando ridiculous that we had to wait for this high school band to board notbabysitters whrsthecoach ,0
a tweeted apology is not enough for delay fiasco none for insult from gate agent is worse except for mark n all bad at clt ,0
 lol you guys are so on it  me had this been months ago our fleet s on fleek ,1
we are the airline that has cancelled flightled flights tomorrow to the nyc area ,0
as it always is helps to communicate to customers ,0
thx ops agt rich westagard n flight att nancy den airport held flight n even saved seat bus select customersfirst ,1
it has it is been booked into first class with curbside delivery hours from now i am counting on it teamusa ,0
no jetblue just no our fleet s on fleek ,0
lost my cats missed their flights kept them crated hrs for a wouldbe hr trip you shall you will never touch my pets again ,0
flight to phl from fll cancelled flighted no flight available until done with sw they are a pain to deal with ,0
it has it is am and wife still does not have her luggage which was promised by pm and said to be on its way file number dca m fail ,0
fastest response all day hour on the phone never got off hold hour in line never got to the flight booking problems desk ,0
the emails calls over the past months about flight changes were helpful wish you would have sent them on the cancelled flightlation yesterday ,0
after pleading with car service to stay hrs past pick up they left me and my family but it has it is ok i have water and crackers ,0
hi again how you suggested i contacted u via phone sent a mail with the original ticket amp the result ,0
yes bags came hr after i arrived at baggage claim awful experience on the ground at bhm ,0
its ridic you cant transfer credit you have my amp youre taking of it for cancelled flightling atleast let me keep the credit damn ,0
and you took away my st class seat love being a chairman preferred and assigned row seat b middle seat ,0
how can i speak to a human need find bag delayed website and are telling me different things got hung up on x ,0
i shall i will stick with my united flight thanks though effort is much appreciated ,1
i will be stunned if my bags are in hartford with me the ord ground crew only had an hour to move my bags yards ,0
so i guess you can get to the airport too early need to wait mins to checkin really ,0
ask your new colleagues how they handled us on feb i expect to be made whole again check complaint inbox ,0
yes lots you have terrible customer service at newark and despite raising a complaint there we were ignored hence the tweet ,0
already called no other options flight is being reimbursed never again you are unreliable for business travelers ,0
another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them ,1
can i get a refund i would like to book on a better airline ,0
once you go blue you do not go back ,0
flight attendant wendi on flt on newark to orlando ,1
thanks for the reply i have been in contact with customer care to get clarification on this issue ,1
the gate agent said it s booked in full sorry i had a ticket with a st class seat i will call customer service when i land ,0
had cancelled flight my trip to la bc weather was easy but us air is making me pay to use the credit never again ,0
no sato rebooked me just upset that my travel office had to fix this and you couldn t ,0
no thanks took care of it when i called ,1
my am was canned i empathize but i think your team has lost the right to be capitalized it has it is a lowercase team day ,0
is officially my favorite airline they have created magic for me all day friendlyskies careyon ,1
your customer service at clt is terrible my flight was delayed from jfk for hours get to clt to horrid customer service ,0
 the best the agent could do is put me on a flight arriving tomorrow afternoon with a six hour layover ,0
i am a trying but i am tired and getting grumpy ,0
wow that has that is helpful ,1
this is nuts they said a flight was on the ground now it has it is still in albany and they will not have a plane someone is compensating me ,0
you flew me into chi instead and i got a ride to mke u said my bags would go to mke today is it on the cancelled flightled flight tho ,0
no i use to skyscanner and travel agency and i called u you said you should call travel agency but ,0
your airline is a joke person working special services at ewr line is ppl deep grow up ,0
as i already have a booked flight that i cannot use amp cannot change w o a fee flight booking problems a different type of ticket ,0
heard back at am today was put on flight tomorrow am arriving home at pm meaning i had i would have to take a nd day off work ,0
 very disappointed by the service starting from gate operator at bos who was rude in stopping a carryon bag ,0
 from denver we just boarded fingers crossed we get into the air ,1
flight gate changes on top of this really hoping you can compensate with some points mileage to my account ,0
hey guys your flight booking problems system ran my first and middle names together at time of flight booking problems is that going to be a tsanightmare ,0
 we re sorry you were uncomfortable andrew what can we do for you sma ,0
overloads small plane with extra baggage and then has to take them off poor execution minute delay ,0
absolutely the missed connection caused us to miss our ferry to vieques get us to vieques also flight vouchers prbound ,0
trip cut hrs short due to flight change massive layovers no peanuts or crackers asked for h o and received about oz ,0
what you did was illegal and a breach of contract i will be in touch but not through your customer feedback ,0
thank you ,1
i just want to get home before wednesday joke is over hrs of cancelled flightlations and delays is enough ,0
nope not yet ,0
